Kürzel,Name,Börse
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ
AAVXF,Abivax S.A.,OTC
AAWH,"Ascend Wellness Holdings, Inc.",OTC
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ
AB,AllianceBernstein Holding L.P.  Units,NYSE
ABAKF,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",OTC
ABAT,American Battery Technology Company - Common Stock,NASDAQ
ABBB,"Auburn Bancorp, Inc. Common Stock",OTC
ABBNY,ABB LTD,OTC
ABBV,AbbVie Inc. Common Stock,NYSE
ABCB,Ameris Bancorp Common Stock,NYSE
ABCFF,ABACUS MINING & EXPLORATION CORP,OTC
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ
ABCP,AmBase Corp,OTC
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ
ABEQ,Absolute Select Value ETF,NYSE ARCA
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE
ABFL,Abacus FCF Leaders ETF,BATS
ABG,Asbury Automotive Group Inc Common Stock,NYSE
ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ
ABIG,Argent Large Cap ETF,NASDAQ
ABIT,Athena Bitcoin Global,OTC
ABLD,Abacus FCF Real Assets Leaders ETF,BATS
ABLG,Abacus FCF International Leaders ETF,BATS
ABLS,Abacus FCF Small Cap Leaders ETF,BATS
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ
ABLVW,Able View Global Inc. - Warrant,NASDAQ
ABLZF,ABB LTD,OTC
ABM,ABM Industries Incorporated Common Stock,NYSE
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ
ABNG,Leverage Shares 2x Long ABNB Daily ETF,NASDAQ
ABNY,YieldMax ABNB Option Income Strategy ETF,NYSE ARCA
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ
ABOT,Abacus FCF Innovation Leaders ETF,BATS
ABPO,"Abpro Holdings, Inc.",OTC
ABPWW,"Abpro Holdings, Inc.",OTC
ABQQ,AB INTL GROUP CORP Common,OTC
ABR,Arbor Realty Trust Common Stock,NYSE
ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",NYSE
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE
ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",NYSE
ABR-PD,ARBOR REALTY TRUST INC,OTC
ABR-PE,ARBOR REALTY TRUST INC,OTC
ABR-PF,ARBOR REALTY TRUST INC,OTC
ABRW,"American Brewing Co., Inc. Common",OTC
ABSI,Absci Corporation - Common Stock,NASDAQ
ABSR,American Business Services Inc. Com,OTC
ABT,Abbott Laboratories Common Stock,NYSE
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ
ABUF,Aptus Laddered Buffer ETF,BATS
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ
ABVE,Above Food Ingredients Inc. - Common Stock,NASDAQ
ABVEW,Above Food Ingredients Inc. - Warrant,NASDAQ
ABVN,ABV CONSULTING INC Common,OTC
ABVX,Abivax SA - American Depositary Shares,NASDAQ
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE
ABXB,Abacus Flexible Bond Leaders ETF,BATS
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",NYSE
ABXXF,Abaxx Technologies Inc.,OTC
ACA,"Arcosa, Inc. Common Stock",NYSE
ACAA,Averin Capital Acquisition Corp.,OTC
ACAAU,Averin Capital Acquisition Corp. - Units,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ
ACAT,NP Life Sciences Health Industry Group Inc.,OTC
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ
ACBC,Albina Community Bancorp (OR) Common Stock,OTC
ACBM,"ACRO BIOMEDICAL CO., LTD.",OTC
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ
ACCO,Acco Brands Corporation Common Stock,NYSE
ACCS,ACCESS Newswire Inc. Common Stock,AMEX
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ
ACEI,Innovator Equity Autocallable Income Strategy ETF,NYSE ARCA
ACEL,"Accel Entertainment, Inc.",NYSE
ACEP,ARS Core Equity Portfolio ETF,NASDAQ
ACES,ALPS Clean Energy ETF,NYSE ARCA
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ
ACGC,ACP Holdings Acquisition Corp.,OTC
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ
ACGP,"Associated Capital Group, Inc.",OTC
ACGR,American Century Large Cap Growth ETF,NYSE ARCA
ACH,"Accendra Health, Inc. Common Stock",NYSE
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE
ACHR-WT,Archer Aviation Inc.,OTC
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",NYSE
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ
ACII,Innovator Index Autocallable Income Strategy ETF,NYSE ARCA
ACIO,Aptus Collared Investment Opportunity ETF,BATS
ACIU,AC Immune SA - Common Stock,NASDAQ
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,NYSE ARCA
ACLC,American Century Large Cap Equity ETF,NYSE ARCA
ACLO,TCW AAA CLO ETF,NYSE
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ
ACLX,"Arcellx, Inc. - Common Stock",NASDAQ
ACLZ,Accelerize Inc. Common Stock,OTC
ACM,AECOM Common Stock,NYSE
ACMIF,Allied Critical Metals Corp.,OTC
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE
ACNB,ACNB Corporation - Common Stock,NASDAQ
ACNT,Ascent Industries Co. - Common Stock,NASDAQ
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ
ACON,"Aclarion, Inc. - Common Stock",NASDAQ
ACONW,"Aclarion, Inc. - Warrant",NASDAQ
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE
ACP-PA,abrdn Income Credit Strategies Fund,OTC
ACPS,"AC Partners, Inc.",OTC
ACQC,Relativity Acquisition Corp,OTC
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,NYSE
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE
ACR-PC,ACRES Commercial Realty Corp.,OTC
ACR-PD,ACRES Commercial Realty Corp.,OTC
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE
ACRG,"American Clean Resources Group, Inc.",OTC
ACRL,"Atacama Resources International, Inc.",OTC
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ
ACSG,American Century Small Cap Growth Insights ETF,BATS
ACSI,American Customer Satisfaction ETF,BATS
ACSV,American Century Small Cap Value Insights ETF,BATS
ACSX,A.C. Simmonds and Sons Inc. Common Stock,OTC
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ
ACTG,Acacia Research Corporation - Common Stock,NASDAQ
ACTL,"Artec Global Media, Inc. Common Stock",OTC
ACTS,FIS Tactical Equity ETF,NYSE ARCA
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ
ACU,Acme United Corporation. Common Stock,AMEX
ACUT,Accustem Sciences Inc.,OTC
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE
ACVA,ACV Auctions Inc. Class A Common Stock,NYSE
ACVF,American Conservative Values ETF,NYSE ARCA
ACVT,Advent Convertible Bond ETF,NYSE ARCA
ACWI,iShares MSCI ACWI ETF,NASDAQ
ACWV,iShares MSCI Global Min Vol Factor ETF,BATS
ACWX,iShares MSCI ACWI ex U.S. ETF,NASDAQ
ACXA,Accurexa Inc. Common Stock,OTC
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ
ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,NYSE ARCA
AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ
ADACU,American Drive Acquisition Company - Units,NASDAQ
ADACW,American Drive Acquisition Company - Warrant,NASDAQ
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ
ADBE,Adobe Inc. - Common Stock,NASDAQ
ADBG,Leverage Shares 2X Long ADBE Daily ETF,NASDAQ
ADBT,"Advasa Holdings, Inc.",OTC
ADBU,Direxion Daily ADBE Bull 2X ETF,NYSE ARCA
ADC,Agree Realty Corporation Common Stock,NYSE
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",NYSE
ADC-PA,AGREE REALTY CORP,OTC
ADCT,ADC Therapeutics SA Common Shares,NYSE
ADDTF,Addtech AB/ADR,OTC
ADEA,Adeia Inc.  - Common Stock,NASDAQ
ADFI,Anfield Dynamic Fixed Income ETF,BATS
ADGL,"AllDigital Holdings, Inc. Common Stock",OTC
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ
ADHH,ADAIAH DISTR INC Common,OTC
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ
ADIA,"Adia Nutrition, Inc.",OTC
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ
ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,NYSE ARCA
ADM,Archer-Daniels-Midland Company Common Stock,NYSE
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ
ADME,Aptus Drawdown Managed Equity ETF,BATS
ADMG,ADAMANT DRI PROCESSING & MINERALS GROUP,OTC
ADMQ,"ADM ENDEAVORS, INC.",OTC
ADMT,"ADM TRONICS UNLIMITED, INC.",OTC
ADMV,ADAMAS VENTURES INC Common Stock,OTC
ADNH,"ADVENT TECHNOLOGIES HOLDINGS, INC.",OTC
ADNT,Adient plc Ordinary Shares,NYSE
ADOOY,Adaro Energy PT/ADR/,OTC
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ
ADPV,Adaptiv Select ETF,NYSE ARCA
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ
ADT,ADT Inc. Common Stock,NYSE
ADTI,"Adapti, Inc.",OTC
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ
ADTTF,ADVANTEST CORP,OTC
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ
ADVE,Matthews Asia Dividend Active ETF,NYSE ARCA
ADX,Adams Diversified Equity Fund Inc.,NYSE
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ
ADYYF,Adyen N.V./ADR,OTC
ADZCF,DEUTSCHE BANK AKTIENGESELLSCHAFT,OTC
AEAE,AltEnergy Acquisition Corp,OTC
AEAEU,AltEnergy Acquisition Corp,OTC
AEAEW,AltEnergy Acquisition Corp,OTC
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ
AEAQU,Activate Energy Acquisition Corp. - Unit,NASDAQ
AEAQW,Activate Energy Acquisition Corp. - Warrant,NASDAQ
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ
AEBMF,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,OTC
AEBMY,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,OTC
AEBZY,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,OTC
AEC,Anfield Energy Inc. - Common Shares,NASDAQ
AED,Brand Meditech Ltd,OTC
AEE,Ameren Corporation Common Stock,NYSE
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",AMEX
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,NYSE
AEG,Aegon Ltd. New York Registry Shares,NYSE
AEGOF,AEGON LTD.,OTC
AEGXF,Aecon Group Inc.,OTC
AEHGS,"Arrived Homes 5, LLC",OTC
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ
AEHR,Aehr Test Systems - Common Stock,NASDAQ
AEI,Alset Inc. - Common Stock,NASDAQ
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ
AELKY,ASELSAN Elektronik Sanayi ve Ticaret Anonim Sirketi/ADR,OTC
AEM,Agnico Eagle Mines Limited Common Stock,NYSE
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ
AEMS,Anfield Enhanced Market ETF,BATS
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ
AEO,"American Eagle Outfitters, Inc. Common Stock",NYSE
AEON,"AEON Biopharma, Inc. Class A Common Stock",AMEX
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ
AER,AerCap Holdings N.V. Ordinary Shares,NYSE
AERA,AI Era Corp.,OTC
AERG,"APPLIED ENERGETICS, INC.",OTC
AERGP,"Applied Energetics, Inc. Series A Convertible Preferred Stock",OTC
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",NYSE
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ
AES,The AES Corporation Common Stock,NYSE
AESI,Atlas Energy Solutions Inc. Common Stock,NYSE
AESP,Aeon Acquisition I Corp.,OTC
AESR,Anfield U.S. Equity Sector Rotation ETF,BATS
AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,NYSE ARCA
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,NYSE
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ
AFA,FARLONG HOLDING Corp,OTC
AFB,AllianceBernstein National Municipal Income Fund Inc,NYSE
AFBA,"Allied First Bancorp, Inc. (Maryland) Common Stock",OTC
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ
AFCT,AFC Building Technologies Inc. Common Stock,OTC
AFFWD,"American Housing Income Trust, Inc. Common Stock",OTC
AFG,"American Financial Group, Inc. Common Stock",NYSE
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",NYSE
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",NYSE
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",NYSE
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",NYSE
AFIF,Anfield Universal Fixed Income ETF,BATS
AFIX,Allspring Broad Market Core Bond ETF,NYSE ARCA
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ
AFK,VanEck Africa Index ETF,NYSE ARCA
AFL,AFLAC Incorporated Common Stock,NYSE
AFLG,First Trust Active Factor Large Cap ETF,NYSE ARCA
AFMC,First Trust Active Factor Mid Cap ETF,NYSE ARCA
AFNDY,Allfunds Group PLC./ADR,OTC
AFNX,AfterNext Acquisition I Corp.,OTC
AFOS,ARS Focused Opportunity Strategy ETF,NASDAQ
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ
AFRIW,Forafric Global PLC - Warrants,NASDAQ
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ
AFRU,T-REX 2X Long AFRM Daily Target ETF,BATS
AFSC,abrdn Focused U.S. Small Cap Active ETF,NASDAQ
AFSM,First Trust Active Factor Small Cap ETF,NYSE ARCA
AFYA,Afya Limited - Class A Common Shares,NASDAQ
AG,First Majestic Silver Corp. Ordinary Shares (Canada),NYSE
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,NASDAQ
AGBK,AGI Inc Class A Common Shares,NYSE
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ
AGCO,AGCO Corporation Common Stock,NYSE
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,NYSE
AGEM,abrdn Emerging Markets Dividend Active ETF,NASDAQ
AGEN,Agenus Inc. - Common Stock,NASDAQ
AGG,iShares Core U.S. Aggregate Bond ETF,NYSE ARCA
AGGA,EA Astoria Dynamic Core US Fixed Income ETF,NASDAQ
AGGH,Simplify Aggregate Bond ETF,NYSE ARCA
AGGI,"Allied Energy, Inc.",OTC
AGGS,Harbor Disciplined Bond ETF,NYSE ARCA
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,NYSE ARCA
AGH,Aureus Greenway Holdings Inc. - Common Stock,NASDAQ
AGI,Alamos Gold Inc. Class A Common Shares,NYSE
AGIG,Abundia Global Impact Group Inc. Common stock,AMEX
AGIN,American Graphite Technologies Inc. Common Stock,OTC
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ
AGIQ,SoFi Agentic AI ETF,NYSE ARCA
AGIX,KraneShares Artificial Intelligence & Technology ETF,NASDAQ
AGL,"agilon health, inc. Common Stock",NYSE
AGLY,Atlantis Glory Inc.,OTC
AGM,Federal Agricultural Mortgage Corporation Common Stock,NYSE
AGM$D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",NYSE
AGM$E,"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock, Series E",NYSE
AGM$F,"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock, Series F",NYSE
AGM$G,"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock, Series G",NYSE
AGM$H,"Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock, Series H",NYSE
AGM-A,FEDERAL AGRICULTURAL MORTGAGE CORP,OTC
AGM-PD,FEDERAL AGRICULTURAL MORTGAGE CORP,OTC
AGM-PE,FEDERAL AGRICULTURAL MORTGAGE CORP,OTC
AGM-PF,FEDERAL AGRICULTURAL MORTGAGE CORP,OTC
AGM-PG,FEDERAL AGRICULTURAL MORTGAGE CORP,OTC
AGM-PH,FEDERAL AGRICULTURAL MORTGAGE CORP,OTC
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,NYSE
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ
AGMI,Themes Silver Miners ETF,NASDAQ
AGMRF,"Silver Mountain Resources, Inc.",OTC
AGMWF,"Silver Mountain Resources, Inc.",OTC
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ
AGNG,Global X Aging Population ETF,NASDAQ
AGNPF,Algernon Health Inc.,OTC
AGO,Assured Guaranty Ltd. Common Stock,NYSE
AGOX,Adaptive Alpha Opportunities ETF,NYSE ARCA
AGPU,Axe Compute Inc. - Common Stock,NASDAQ
AGQ,ProShares Ultra Silver,NYSE ARCA
AGQI,First Trust Active Global Quality Income ETF,NYSE ARCA
AGQPF,ALGONQUIN POWER & UTILITIES CORP.,OTC
AGRH,iShares Interest Rate Hedged U.S. Aggregate Bond ETF,NYSE ARCA
AGRO,Adecoagro S.A. Common Shares,NYSE
AGRW,Allspring LT Large Growth ETF,NYSE ARCA
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ
AGSS,"AMERIGUARD SECURITY SERVICES, INC.",OTC
AGTX,Agentix Corp.,OTC
AGX,"Argan, Inc. Common Stock",NYSE
AGXPF,SILVER X MINING CORP.,OTC
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ
AGZ,iShares  Agency Bond ETF,NYSE ARCA
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,NASDAQ
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ
AHDT,Asta Holdings Corp. Common,OTC
AHG,Akso Health Group - American Depositary Shares,NASDAQ
AHII,American Heritage International Inc.,OTC
AHL,ASPEN INSURANCE HOLDINGS LTD,OTC
AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,NYSE
AHL$E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",NYSE
AHL$F,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1,000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share",NYSE
AHL-PD,ASPEN INSURANCE HOLDINGS LTD,OTC
AHL-PE,ASPEN INSURANCE HOLDINGS LTD,OTC
AHL-PF,ASPEN INSURANCE HOLDINGS LTD,OTC
AHLT,AHL Trend ETF,NYSE ARCA
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,NASDAQ
AHNRF,ATHENA GOLD CORP,OTC
AHR,"American Healthcare REIT, Inc. Common Stock",NYSE
AHRO,"Authentic Holdings, Inc.",OTC
AHRT,"AH Realty Trust, Inc. Common Stock",NYSE
AHRT$A,"AH Realty Trust, Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock",NYSE
AHRT-PA,"AH Realty Trust, Inc.",OTC
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,NYSE
